# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
barbell hang squat snatch	hinge	barbell	SQUAT/BARBELL_HANG_SQUAT_SNATCH	Hang_Snatch
barbell lateral step up	single_leg	barbell	SQUAT/BARBELL_LATERAL_STEP_UP
barbell quarter squat	squat	barbell	SQUAT/BARBELL_QUARTER_SQUAT
barbell siff squat	squat	barbell	SQUAT/BARBELL_SIFF_SQUAT
barbell squat snatch	hinge	barbell	SQUAT/BARBELL_SQUAT_SNATCH	Snatch
barbell squat with heels raised	squat	barbell	SQUAT/BARBELL_SQUAT_WITH_HEELS_RAISED
barbell step up	single_leg	barbell	SQUAT/BARBELL_STEP_UP	Barbell_Step_Ups
barbell stepover	squat	barbell	SQUAT/BARBELL_STEPOVER
belt squat	squat	machine	SQUAT/BELT_SQUAT
bench squat with rotational chop	squat	bodyweight	SQUAT/BENCH_SQUAT_WITH_ROTATIONAL_CHOP SQUAT/WEIGHTED_BENCH_SQUAT_WITH_ROTATIONAL_CHOP
body weight wall squat	squat	bodyweight	SQUAT/BODY_WEIGHT_WALL_SQUAT
box step squat	squat	bodyweight	SQUAT/BOX_STEP_SQUAT SQUAT/WEIGHTED_BOX_STEP_SQUAT
braced squat	squat	barbell	SQUAT/BRACED_SQUAT
crossed arm barbell front squat	squat	barbell	SQUAT/CROSSED_ARM_BARBELL_FRONT_SQUAT
crossover dumbbell step up	single_leg	dumbbell	SQUAT/CROSSOVER_DUMBBELL_STEP_UP
dumbbell front squat	squat	dumbbell	SQUAT/DUMBBELL_FRONT_SQUAT
dumbbell overhead squat single arm	squat	dumbbell	SQUAT/DUMBBELL_OVERHEAD_SQUAT_SINGLE_ARM
dumbbell split squat	single_leg	dumbbell	SQUAT/DUMBBELL_SPLIT_SQUAT	Split_Squat_with_Dumbbells
dumbbell squat	squat	dumbbell	SQUAT/DUMBBELL_SQUAT	Dumbbell_Squat
dumbbell squat clean	hinge	dumbbell	SQUAT/DUMBBELL_SQUAT_CLEAN
dumbbell squat snatch	hinge	dumbbell	SQUAT/DUMBBELL_SQUAT_SNATCH
dumbbell step up	single_leg	dumbbell	SQUAT/DUMBBELL_STEP_UP	Dumbbell_Step_Ups
dumbbell stepover	squat	dumbbell	SQUAT/DUMBBELL_STEPOVER
dumbbell thrusters	squat	dumbbell	SQUAT/DUMBBELL_THRUSTERS
elevated single leg squat	single_leg	bodyweight	SQUAT/ELEVATED_SINGLE_LEG_SQUAT SQUAT/WEIGHTED_ELEVATED_SINGLE_LEG_SQUAT
figure four squats	squat	bodyweight	SQUAT/FIGURE_FOUR_SQUATS SQUAT/WEIGHTED_FIGURE_FOUR_SQUATS
goblet squat	squat	dumbbell	SQUAT/GOBLET_SQUAT
kettlebell squat	squat	kettlebell	SQUAT/KETTLEBELL_SQUAT	Goblet_Squat
kettlebell swing overhead	hinge	kettlebell	SQUAT/KETTLEBELL_SWING_OVERHEAD
kettlebell swing with flip to squat	hinge	kettlebell	SQUAT/KETTLEBELL_SWING_WITH_FLIP_TO_SQUAT
lateral dumbbell step up	single_leg	dumbbell	SQUAT/LATERAL_DUMBBELL_STEP_UP
leg press	squat	machine	SQUAT/LEG_PRESS	Leg_Press
medicine ball squat	squat	dumbbell	SQUAT/MEDICINE_BALL_SQUAT
one legged squat	single_leg	barbell	SQUAT/ONE_LEGGED_SQUAT
overhead barbell squat	squat	barbell	SQUAT/OVERHEAD_BARBELL_SQUAT	Overhead_Squat
overhead dumbbell squat	squat	dumbbell	SQUAT/OVERHEAD_DUMBBELL_SQUAT
overhead squat	squat	barbell	SQUAT/OVERHEAD_SQUAT	Overhead_Squat
partial single leg squat	single_leg	bodyweight	SQUAT/PARTIAL_SINGLE_LEG_SQUAT SQUAT/WEIGHTED_PARTIAL_SINGLE_LEG_SQUAT
pistol squat	single_leg	bodyweight	SQUAT/PISTOL_SQUAT SQUAT/WEIGHTED_PISTOL_SQUAT
plie slides	squat	bodyweight	SQUAT/PLIE_SLIDES SQUAT/WEIGHTED_PLIE_SLIDES
plie squat	squat	bodyweight	SQUAT/PLIE_SQUAT SQUAT/WEIGHTED_PLIE_SQUAT
prisoner squat	squat	bodyweight	SQUAT/PRISONER_SQUAT SQUAT/WEIGHTED_PRISONER_SQUAT
safety bar squat	squat	barbell	SQUAT/SAFETY_BAR_SQUAT
ruck back squat	squat	barbell	SQUAT/RUCK_BACK_SQUAT
ruck overhead squat	squat	barbell	SQUAT/RUCK_OVERHEAD_SQUAT
ruck front squat	squat	barbell	SQUAT/RUCK_FRONT_SQUAT
single leg bench get up	core_carry	bodyweight	SQUAT/SINGLE_LEG_BENCH_GET_UP SQUAT/WEIGHTED_SINGLE_LEG_BENCH_GET_UP
single leg bench squat	single_leg	bodyweight	SQUAT/SINGLE_LEG_BENCH_SQUAT SQUAT/WEIGHTED_SINGLE_LEG_BENCH_SQUAT
single leg squat on swiss ball	single_leg	bodyweight	SQUAT/SINGLE_LEG_SQUAT_ON_SWISS_BALL SQUAT/WEIGHTED_SINGLE_LEG_SQUAT_ON_SWISS_BALL
squat	squat	bodyweight	SQUAT/SQUAT SQUAT/WEIGHTED_SQUAT BANDED_EXERCISES/SQUAT SUSPENSION/SQUAT SQUAT	Bodyweight_Squat
squat american swing	hinge	kettlebell	SQUAT/SQUAT_AMERICAN_SWING
squat and side kick	accessory	barbell	SQUAT/SQUAT_AND_SIDE_KICK
squat jumps in n out	accessory	barbell	SQUAT/SQUAT_JUMPS_IN_N_OUT
squats with band	squat	cable	SQUAT/SQUATS_WITH_BAND	Squats_-_With_Bands
staggered squat	squat	bodyweight	SQUAT/STAGGERED_SQUAT SQUAT/WEIGHTED_STAGGERED_SQUAT
step up	single_leg	bodyweight	SQUAT/STEP_UP SQUAT/WEIGHTED_STEP_UP
suitcase squats	squat	dumbbell	SQUAT/SUITCASE_SQUATS	Dumbbell_Squat
sumo squat	squat	barbell	SQUAT/SUMO_SQUAT
sumo squat slide in	squat	bodyweight	SQUAT/SUMO_SQUAT_SLIDE_IN SQUAT/WEIGHTED_SUMO_SQUAT_SLIDE_IN
sumo squat to high pull	hinge	barbell	SQUAT/SUMO_SQUAT_TO_HIGH_PULL
sumo squat to stand	squat	bodyweight	SQUAT/SUMO_SQUAT_TO_STAND SQUAT/WEIGHTED_SUMO_SQUAT_TO_STAND
sumo squat with rotation	squat	bodyweight	SQUAT/SUMO_SQUAT_WITH_ROTATION SQUAT/WEIGHTED_SUMO_SQUAT_WITH_ROTATION
swiss ball body weight wall squat	squat	bodyweight	SQUAT/SWISS_BALL_BODY_WEIGHT_WALL_SQUAT
thrusters	squat	barbell	SQUAT/THRUSTERS
uneven squat	squat	bodyweight	SQUAT/UNEVEN_SQUAT SQUAT/WEIGHTED_UNEVEN_SQUAT
waist slimming squat	squat	barbell	SQUAT/WAIST_SLIMMING_SQUAT
wall ball	squat	dumbbell	SQUAT/WALL_BALL
wall ball squat and press	squat	dumbbell	SQUAT/WALL_BALL_SQUAT_AND_PRESS
weighted swiss ball wall squat	squat	bodyweight	SQUAT/WEIGHTED_SWISS_BALL_WALL_SQUAT
weighted wall squat	squat	bodyweight	SQUAT/WEIGHTED_WALL_SQUAT
wide stance barbell squat	squat	barbell	SQUAT/WIDE_STANCE_BARBELL_SQUAT	Wide_Stance_Barbell_Squat
wide stance goblet squat	squat	dumbbell	SQUAT/WIDE_STANCE_GOBLET_SQUAT
zercher squat	squat	barbell	SQUAT/ZERCHER_SQUAT SANDBAG/ZERCHER_SQUAT	Zercher_Squats
kbs overhead	hinge	kettlebell	SQUAT/KBS_OVERHEAD
pilates plie squats parallel turned out flat and heels	squat	bodyweight	SQUAT/PILATES_PLIE_SQUATS_PARALLEL_TURNED_OUT_FLAT_AND_HEELS
releve straight leg and knee bent with one leg variation	squat	bodyweight	SQUAT/RELEVE_STRAIGHT_LEG_AND_KNEE_BENT_WITH_ONE_LEG_VARIATION
barbell deadlift	hinge	barbell	DEADLIFT/BARBELL_DEADLIFT	Barbell_Deadlift
barbell straight leg deadlift	hinge	barbell	DEADLIFT/BARBELL_STRAIGHT_LEG_DEADLIFT	Stiff-Legged_Barbell_Deadlift
deadlift	hinge	barbell	DEADLIFT/DEADLIFT BANDED_EXERCISES/DEADLIFT DEADLIFT	Barbell_Deadlift
romanian deadlift	hinge	barbell	DEADLIFT/ROMANIAN_DEADLIFT	Romanian_Deadlift
dumbbell deadlift	hinge	dumbbell	DEADLIFT/DUMBBELL_DEADLIFT
dumbbell single leg deadlift to row	hinge	dumbbell	DEADLIFT/DUMBBELL_SINGLE_LEG_DEADLIFT_TO_ROW
