# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
wide grip overhead barbell split squat	single_leg	barbell	LUNGE/WIDE_GRIP_OVERHEAD_BARBELL_SPLIT_SQUAT
alternating dumbbell row	pull_horizontal	dumbbell	ROW/ALTERNATING_DUMBBELL_ROW
banded face pulls	accessory	cable	ROW/BANDED_FACE_PULLS
barbell bench pull	pull_horizontal	barbell	ROW/BARBELL_BENCH_PULL
barbell row	pull_horizontal	barbell	ROW/BARBELL_ROW	Bent_Over_Barbell_Row
barbell straight leg deadlift to row	hinge	barbell	ROW/BARBELL_STRAIGHT_LEG_DEADLIFT_TO_ROW
bent over row with barbell	pull_horizontal	barbell	ROW/BENT_OVER_ROW_WITH_BARBELL	Bent_Over_Barbell_Row
bent over row with dumbell	pull_horizontal	dumbbell	ROW/BENT_OVER_ROW_WITH_DUMBELL	Bent_Over_Two-Dumbbell_Row
cable row standing	pull_horizontal	cable	ROW/CABLE_ROW_STANDING
chest supported dumbbell row	pull_horizontal	dumbbell	ROW/CHEST_SUPPORTED_DUMBBELL_ROW	Dumbbell_Incline_Row
decline ring row	pull_horizontal	bodyweight	ROW/DECLINE_RING_ROW
dumbbell row	pull_horizontal	dumbbell	ROW/DUMBBELL_ROW	Bent_Over_Two-Dumbbell_Row
elevated feet inverted row	pull_horizontal	bodyweight	ROW/ELEVATED_FEET_INVERTED_ROW ROW/WEIGHTED_ELEVATED_FEET_INVERTED_ROW
elevated ring row	pull_horizontal	bodyweight	ROW/ELEVATED_RING_ROW
face pull	accessory	barbell	ROW/FACE_PULL BANDED_EXERCISES/FACE_PULL SUSPENSION/FACE_PULL
face pull with external rotation	accessory	barbell	ROW/FACE_PULL_WITH_EXTERNAL_ROTATION
indoor row	pull_horizontal	barbell	ROW/INDOOR_ROW INDOOR_ROW
inverted row	pull_horizontal	bodyweight	ROW/INVERTED_ROW ROW/WEIGHTED_INVERTED_ROW SUSPENSION/INVERTED_ROW	Inverted_Row
inverted row with feet on swiss ball	pull_horizontal	bodyweight	ROW/INVERTED_ROW_WITH_FEET_ON_SWISS_BALL ROW/WEIGHTED_INVERTED_ROW_WITH_FEET_ON_SWISS_BALL
kettlebell row	pull_horizontal	kettlebell	ROW/KETTLEBELL_ROW
modified inverted row	pull_horizontal	bodyweight	ROW/MODIFIED_INVERTED_ROW ROW/WEIGHTED_MODIFIED_INVERTED_ROW
neutral grip alternating dumbbell row	pull_horizontal	dumbbell	ROW/NEUTRAL_GRIP_ALTERNATING_DUMBBELL_ROW
one arm bent over row	pull_horizontal	dumbbell	ROW/ONE_ARM_BENT_OVER_ROW	One-Arm_Dumbbell_Row
one legged dumbbell row	pull_horizontal	dumbbell	ROW/ONE_LEGGED_DUMBBELL_ROW
renegade row	pull_horizontal	dumbbell	ROW/RENEGADE_ROW
reverse grip barbell row	pull_horizontal	barbell	ROW/REVERSE_GRIP_BARBELL_ROW	Reverse_Grip_Bent-Over_Rows
ring row	pull_horizontal	bodyweight	ROW/RING_ROW	Suspended_Row
rope handle cable row	pull_horizontal	cable	ROW/ROPE_HANDLE_CABLE_ROW
row	pull_horizontal	barbell	ROW/ROW BANDED_EXERCISES/ROW SANDBAG/ROW SLED/ROW SUSPENSION/ROW ROW	Bent_Over_Barbell_Row
ruck bentover row	pull_horizontal	barbell	ROW/RUCK_BENTOVER_ROW
seated cable row	pull_horizontal	cable	ROW/SEATED_CABLE_ROW	Seated_Cable_Rows
seated dumbbell row	pull_horizontal	dumbbell	ROW/SEATED_DUMBBELL_ROW
seated underhand grip cable row	pull_horizontal	cable	ROW/SEATED_UNDERHAND_GRIP_CABLE_ROW
single arm cable row	pull_horizontal	cable	ROW/SINGLE_ARM_CABLE_ROW	Seated_One-arm_Cable_Pulley_Rows
single arm cable row and rotation	pull_horizontal	cable	ROW/SINGLE_ARM_CABLE_ROW_AND_ROTATION
single arm inverted row	pull_horizontal	bodyweight	ROW/SINGLE_ARM_INVERTED_ROW ROW/WEIGHTED_SINGLE_ARM_INVERTED_ROW
single arm neutral grip dumbbell row	pull_horizontal	dumbbell	ROW/SINGLE_ARM_NEUTRAL_GRIP_DUMBBELL_ROW	One-Arm_Dumbbell_Row
single arm neutral grip dumbbell row and rotation	pull_horizontal	dumbbell	ROW/SINGLE_ARM_NEUTRAL_GRIP_DUMBBELL_ROW_AND_ROTATION
suspended inverted row	pull_horizontal	bodyweight	ROW/SUSPENDED_INVERTED_ROW ROW/WEIGHTED_SUSPENDED_INVERTED_ROW	Suspended_Row
t bar row	pull_horizontal	barbell	ROW/T_BAR_ROW	T-Bar_Row_with_Handle
towel grip inverted row	pull_horizontal	bodyweight	ROW/TOWEL_GRIP_INVERTED_ROW ROW/WEIGHTED_TOWEL_GRIP_INVERTED_ROW
trx inverted row	pull_horizontal	bodyweight	ROW/TRX_INVERTED_ROW ROW/WEIGHTED_TRX_INVERTED_ROW	Inverted_Row_with_Straps
underhand grip cable row	pull_horizontal	cable	ROW/UNDERHAND_GRIP_CABLE_ROW
v grip cable row	pull_horizontal	cable	ROW/V_GRIP_CABLE_ROW
weighted row	pull_horizontal	bodyweight	ROW/WEIGHTED_ROW
wide grip seated cable row	pull_horizontal	cable	ROW/WIDE_GRIP_SEATED_CABLE_ROW
rdl bent over row with barbell dumbbell	hinge	dumbbell	ROW/RDL_BENT_OVER_ROW_WITH_BARBELL_DUMBBELL
dumbbell row wheelchair	pull_horizontal	dumbbell	ROW/DUMBBELL_ROW_WHEELCHAIR
30 degree lat pulldown	pull_vertical	cable	PULL_UP/_30_DEGREE_LAT_PULLDOWN
band assisted chin up	pull_vertical	bodyweight	PULL_UP/BAND_ASSISTED_CHIN_UP
band assisted pull up	pull_vertical	cable	PULL_UP/BAND_ASSISTED_PULL_UP	Band_Assisted_Pull-Up
banded pull ups	pull_vertical	bodyweight	PULL_UP/BANDED_PULL_UPS	Band_Assisted_Pull-Up
burpee pull up	accessory	bodyweight	PULL_UP/BURPEE_PULL_UP PULL_UP/WEIGHTED_BURPEE_PULL_UP
chin up	pull_vertical	bodyweight	PULL_UP/CHIN_UP PULL_UP/WEIGHTED_CHIN_UP	Chin-Up
close grip chin up	pull_vertical	bodyweight	PULL_UP/CLOSE_GRIP_CHIN_UP PULL_UP/WEIGHTED_CLOSE_GRIP_CHIN_UP
close grip lat pulldown	pull_vertical	cable	PULL_UP/CLOSE_GRIP_LAT_PULLDOWN	Close-Grip_Front_Lat_Pulldown
crossover chin up	pull_vertical	bodyweight	PULL_UP/CROSSOVER_CHIN_UP PULL_UP/WEIGHTED_CROSSOVER_CHIN_UP
ez bar pullover	accessory	barbell	PULL_UP/EZ_BAR_PULLOVER
hanging hurdle	pull_vertical	bodyweight	PULL_UP/HANGING_HURDLE PULL_UP/WEIGHTED_HANGING_HURDLE
jumping pull ups	pull_vertical	bodyweight	PULL_UP/JUMPING_PULL_UPS PULL_UP/WEIGHTED_JUMPING_PULL_UPS
kipping pull up	pull_vertical	bodyweight	PULL_UP/KIPPING_PULL_UP PULL_UP/WEIGHTED_KIPPING_PULL_UP
kneeling lat pulldown	pull_vertical	cable	PULL_UP/KNEELING_LAT_PULLDOWN
kneeling underhand grip lat pulldown	pull_vertical	cable	PULL_UP/KNEELING_UNDERHAND_GRIP_LAT_PULLDOWN
l pull up	pull_vertical	bodyweight	PULL_UP/L_PULL_UP PULL_UP/WEIGHTED_L_PULL_UP
lat pulldown	pull_vertical	cable	PULL_UP/LAT_PULLDOWN
mixed grip chin up	pull_vertical	bodyweight	PULL_UP/MIXED_GRIP_CHIN_UP PULL_UP/WEIGHTED_MIXED_GRIP_CHIN_UP	Mixed_Grip_Chin
mixed grip pull up	pull_vertical	bodyweight	PULL_UP/MIXED_GRIP_PULL_UP PULL_UP/WEIGHTED_MIXED_GRIP_PULL_UP	Mixed_Grip_Chin
neutral grip chin up	pull_vertical	bodyweight	PULL_UP/NEUTRAL_GRIP_CHIN_UP PULL_UP/WEIGHTED_NEUTRAL_GRIP_CHIN_UP
neutral grip pull up	pull_vertical	bodyweight	PULL_UP/NEUTRAL_GRIP_PULL_UP PULL_UP/WEIGHTED_NEUTRAL_GRIP_PULL_UP
pull up	pull_vertical	bodyweight	PULL_UP/PULL_UP PULL_UP/WEIGHTED_PULL_UP SUSPENSION/PULL_UP PULL_UP	Pullups
reverse grip pulldown	pull_vertical	cable	PULL_UP/REVERSE_GRIP_PULLDOWN	Underhand_Cable_Pulldowns
standing cable pullover	accessory	cable	PULL_UP/STANDING_CABLE_PULLOVER
straight arm pulldown	accessory	cable	PULL_UP/STRAIGHT_ARM_PULLDOWN
suspended chin up	pull_vertical	bodyweight	PULL_UP/SUSPENDED_CHIN_UP PULL_UP/WEIGHTED_SUSPENDED_CHIN_UP
swiss ball ez bar pullover	accessory	barbell	PULL_UP/SWISS_BALL_EZ_BAR_PULLOVER
towel pull up	pull_vertical	bodyweight	PULL_UP/TOWEL_PULL_UP PULL_UP/WEIGHTED_TOWEL_PULL_UP
wide grip pull up	pull_vertical	bodyweight	PULL_UP/WEIGHTED_WIDE_GRIP_PULL_UP PULL_UP/WIDE_GRIP_PULL_UP
wide grip lat pulldown	pull_vertical	cable	PULL_UP/WIDE_GRIP_LAT_PULLDOWN	Wide-Grip_Lat_Pulldown
alternating hands medicine ball push up	push_horizontal	bodyweight	PUSH_UP/ALTERNATING_HANDS_MEDICINE_BALL_PUSH_UP PUSH_UP/WEIGHTED_ALTERNATING_HANDS_MEDICINE_BALL_PUSH_UP
alternating staggered push up	push_horizontal	bodyweight	PUSH_UP/ALTERNATING_STAGGERED_PUSH_UP PUSH_UP/WEIGHTED_ALTERNATING_STAGGERED_PUSH_UP
biceps push up	push_horizontal	bodyweight	PUSH_UP/BICEPS_PUSH_UP PUSH_UP/WEIGHTED_BICEPS_PUSH_UP
bosu ball push up	push_horizontal	bodyweight	PUSH_UP/BOSU_BALL_PUSH_UP PUSH_UP/WEIGHTED_BOSU_BALL_PUSH_UP
chest press with band	push_horizontal	cable	PUSH_UP/CHEST_PRESS_WITH_BAND
clapping push up	push_horizontal	bodyweight	PUSH_UP/CLAPPING_PUSH_UP PUSH_UP/WEIGHTED_CLAPPING_PUSH_UP
close grip medicine ball push up	push_horizontal	bodyweight	PUSH_UP/CLOSE_GRIP_MEDICINE_BALL_PUSH_UP PUSH_UP/WEIGHTED_CLOSE_GRIP_MEDICINE_BALL_PUSH_UP
close hands push up	push_horizontal	bodyweight	PUSH_UP/CLOSE_HANDS_PUSH_UP PUSH_UP/WEIGHTED_CLOSE_HANDS_PUSH_UP
decline push up	push_horizontal	bodyweight	PUSH_UP/DECLINE_PUSH_UP PUSH_UP/WEIGHTED_DECLINE_PUSH_UP	Decline_Push-Up
diamond push up	push_horizontal	bodyweight	PUSH_UP/DIAMOND_PUSH_UP PUSH_UP/WEIGHTED_DIAMOND_PUSH_UP
dynamic push up	push_horizontal	bodyweight	PUSH_UP/DYNAMIC_PUSH_UP	Plyo_Push-up
explosive crossover push up	push_horizontal	bodyweight	PUSH_UP/EXPLOSIVE_CROSSOVER_PUSH_UP PUSH_UP/WEIGHTED_EXPLOSIVE_CROSSOVER_PUSH_UP
explosive push up	push_horizontal	bodyweight	PUSH_UP/EXPLOSIVE_PUSH_UP PUSH_UP/WEIGHTED_EXPLOSIVE_PUSH_UP	Plyo_Push-up
feet elevated side to side push up	push_horizontal	bodyweight	PUSH_UP/FEET_ELEVATED_SIDE_TO_SIDE_PUSH_UP PUSH_UP/WEIGHTED_FEET_ELEVATED_SIDE_TO_SIDE_PUSH_UP
hand release push up	push_horizontal	bodyweight	PUSH_UP/HAND_RELEASE_PUSH_UP PUSH_UP/WEIGHTED_HAND_RELEASE_PUSH_UP
handstand push up	push_horizontal	bodyweight	PUSH_UP/HANDSTAND_PUSH_UP PUSH_UP/WEIGHTED_HANDSTAND_PUSH_UP	Handstand_Push-Ups
hindu push up	push_horizontal	bodyweight	PUSH_UP/HINDU_PUSH_UP PUSH_UP/WEIGHTED_HINDU_PUSH_UP
incline push up	push_horizontal	bodyweight	PUSH_UP/INCLINE_PUSH_UP PUSH_UP/WEIGHTED_INCLINE_PUSH_UP	Incline_Push-Up
isometric explosive push up	push_horizontal	bodyweight	PUSH_UP/ISOMETRIC_EXPLOSIVE_PUSH_UP PUSH_UP/WEIGHTED_ISOMETRIC_EXPLOSIVE_PUSH_UP
judo push up	push_horizontal	bodyweight	PUSH_UP/JUDO_PUSH_UP PUSH_UP/WEIGHTED_JUDO_PUSH_UP
kipping handstand push up	push_horizontal	bodyweight	PUSH_UP/KIPPING_HANDSTAND_PUSH_UP
kipping parallette handstand push up	push_horizontal	bodyweight	PUSH_UP/KIPPING_PARALLETTE_HANDSTAND_PUSH_UP
kneeling push up	push_horizontal	bodyweight	PUSH_UP/KNEELING_PUSH_UP PUSH_UP/WEIGHTED_KNEELING_PUSH_UP
medicine ball chest pass	push_horizontal	dumbbell	PUSH_UP/MEDICINE_BALL_CHEST_PASS
medicine ball push up	push_horizontal	bodyweight	PUSH_UP/MEDICINE_BALL_PUSH_UP PUSH_UP/WEIGHTED_MEDICINE_BALL_PUSH_UP
one arm push up	push_horizontal	bodyweight	PUSH_UP/ONE_ARM_PUSH_UP PUSH_UP/WEIGHTED_ONE_ARM_PUSH_UP	Single-Arm_Push-Up
parallette handstand push up	push_horizontal	bodyweight	PUSH_UP/PARALLETTE_HANDSTAND_PUSH_UP PUSH_UP/WEIGHTED_PARALLETTE_HANDSTAND_PUSH_UP
pike push up	push_vertical	bodyweight	PUSH_UP/PIKE_PUSH_UP PUSH_UP/WEIGHTED_PIKE_PUSH_UP
push up	push_horizontal	bodyweight	PUSH_UP/PUSH_UP PUSH_UP/WEIGHTED_PUSH_UP SUSPENSION/PUSH_UP PUSH_UP
push up and row	push_horizontal	bodyweight	PUSH_UP/PUSH_UP_AND_ROW PUSH_UP/WEIGHTED_PUSH_UP_AND_ROW
push up plus	push_horizontal	bodyweight	PUSH_UP/PUSH_UP_PLUS PUSH_UP/WEIGHTED_PUSH_UP_PLUS
push up with feet on swiss ball	push_horizontal	bodyweight	PUSH_UP/PUSH_UP_WITH_FEET_ON_SWISS_BALL PUSH_UP/WEIGHTED_PUSH_UP_WITH_FEET_ON_SWISS_BALL	Push-Ups_With_Feet_On_An_Exercise_Ball
push up with one hand on medicine ball	push_horizontal	bodyweight	PUSH_UP/PUSH_UP_WITH_ONE_HAND_ON_MEDICINE_BALL PUSH_UP/WEIGHTED_PUSH_UP_WITH_ONE_HAND_ON_MEDICINE_BALL
ring handstand push up	push_horizontal	bodyweight	PUSH_UP/RING_HANDSTAND_PUSH_UP PUSH_UP/WEIGHTED_RING_HANDSTAND_PUSH_UP
ring push up	push_horizontal	bodyweight	PUSH_UP/RING_PUSH_UP PUSH_UP/WEIGHTED_RING_PUSH_UP	Suspended_Push-Up
shoulder push up	push_horizontal	bodyweight	PUSH_UP/SHOULDER_PUSH_UP PUSH_UP/WEIGHTED_SHOULDER_PUSH_UP
shoulder tapping push up	push_horizontal	bodyweight	PUSH_UP/SHOULDER_TAPPING_PUSH_UP
single arm medicine ball push up	push_horizontal	bodyweight	PUSH_UP/SINGLE_ARM_MEDICINE_BALL_PUSH_UP PUSH_UP/WEIGHTED_SINGLE_ARM_MEDICINE_BALL_PUSH_UP
spiderman push up	push_horizontal	bodyweight	PUSH_UP/SPIDERMAN_PUSH_UP PUSH_UP/WEIGHTED_SPIDERMAN_PUSH_UP
stacked feet push up	push_horizontal	bodyweight	PUSH_UP/STACKED_FEET_PUSH_UP PUSH_UP/WEIGHTED_STACKED_FEET_PUSH_UP
staggered hands push up	push_horizontal	bodyweight	PUSH_UP/STAGGERED_HANDS_PUSH_UP PUSH_UP/WEIGHTED_STAGGERED_HANDS_PUSH_UP
suspended push up	push_horizontal	bodyweight	PUSH_UP/SUSPENDED_PUSH_UP PUSH_UP/WEIGHTED_SUSPENDED_PUSH_UP	Suspended_Push-Up
swiss ball push up	push_horizontal	bodyweight	PUSH_UP/SWISS_BALL_PUSH_UP PUSH_UP/WEIGHTED_SWISS_BALL_PUSH_UP
swiss ball push up plus	push_horizontal	bodyweight	PUSH_UP/SWISS_BALL_PUSH_UP_PLUS PUSH_UP/WEIGHTED_SWISS_BALL_PUSH_UP_PLUS
t push up	push_horizontal	bodyweight	PUSH_UP/T_PUSH_UP PUSH_UP/WEIGHTED_T_PUSH_UP	Push_Up_to_Side_Plank
triple stop push up	push_horizontal	bodyweight	PUSH_UP/TRIPLE_STOP_PUSH_UP PUSH_UP/WEIGHTED_TRIPLE_STOP_PUSH_UP
wide hands push up	push_horizontal	bodyweight	PUSH_UP/WEIGHTED_WIDE_HANDS_PUSH_UP PUSH_UP/WIDE_HANDS_PUSH_UP	Push-Up_Wide
wide grip push up	push_horizontal	bodyweight	PUSH_UP/WIDE_GRIP_PUSH_UP	Push-Up_Wide
pilates pushup	push_horizontal	bodyweight	PUSH_UP/PILATES_PUSHUP
wall push up	push_horizontal	bodyweight	PUSH_UP/WALL_PUSH_UP
alternating dumbbell shoulder press	push_vertical	dumbbell	SHOULDER_PRESS/ALTERNATING_DUMBBELL_SHOULDER_PRESS
arnold press	push_vertical	dumbbell	SHOULDER_PRESS/ARNOLD_PRESS	Arnold_Dumbbell_Press
barbell front squat to push press	push_vertical	barbell	SHOULDER_PRESS/BARBELL_FRONT_SQUAT_TO_PUSH_PRESS
barbell push press	push_vertical	barbell	SHOULDER_PRESS/BARBELL_PUSH_PRESS	Push_Press
barbell shoulder press	push_vertical	barbell	SHOULDER_PRESS/BARBELL_SHOULDER_PRESS	Barbell_Shoulder_Press
dead curl press	accessory	barbell	SHOULDER_PRESS/DEAD_CURL_PRESS
dumbbell alternating shoulder press and twist	push_vertical	dumbbell	SHOULDER_PRESS/DUMBBELL_ALTERNATING_SHOULDER_PRESS_AND_TWIST
dumbbell front raise	accessory	dumbbell	SHOULDER_PRESS/DUMBBELL_FRONT_RAISE
dumbbell hammer curl to lunge to press	accessory	dumbbell	SHOULDER_PRESS/DUMBBELL_HAMMER_CURL_TO_LUNGE_TO_PRESS
dumbbell push press	push_vertical	dumbbell	SHOULDER_PRESS/DUMBBELL_PUSH_PRESS
dumbbell shoulder press	push_vertical	dumbbell	SHOULDER_PRESS/DUMBBELL_SHOULDER_PRESS	Dumbbell_Shoulder_Press
floor inverted shoulder press	push_vertical	bodyweight	SHOULDER_PRESS/FLOOR_INVERTED_SHOULDER_PRESS SHOULDER_PRESS/WEIGHTED_FLOOR_INVERTED_SHOULDER_PRESS
inverted shoulder press	push_vertical	bodyweight	SHOULDER_PRESS/INVERTED_SHOULDER_PRESS SHOULDER_PRESS/WEIGHTED_INVERTED_SHOULDER_PRESS
kneeling landmine press	push_vertical	barbell	SHOULDER_PRESS/KNEELING_LANDMINE_PRESS
military press	push_vertical	barbell	SHOULDER_PRESS/MILITARY_PRESS	Standing_Military_Press
one arm push press	push_vertical	dumbbell	SHOULDER_PRESS/ONE_ARM_PUSH_PRESS
overhead barbell press	push_vertical	barbell	SHOULDER_PRESS/OVERHEAD_BARBELL_PRESS	Barbell_Shoulder_Press
overhead dumbbell press	push_vertical	dumbbell	SHOULDER_PRESS/OVERHEAD_DUMBBELL_PRESS	Dumbbell_Shoulder_Press
ruck press	push_vertical	barbell	SHOULDER_PRESS/RUCK_PRESS
seated barbell shoulder press	push_vertical	barbell	SHOULDER_PRESS/SEATED_BARBELL_SHOULDER_PRESS	Seated_Barbell_Military_Press
seated dumbbell shoulder press	push_vertical	dumbbell	SHOULDER_PRESS/SEATED_DUMBBELL_SHOULDER_PRESS	Seated_Dumbbell_Press
single arm dumbbell shoulder press	push_vertical	dumbbell	SHOULDER_PRESS/SINGLE_ARM_DUMBBELL_SHOULDER_PRESS	Dumbbell_One-Arm_Shoulder_Press
single arm step up and press	single_leg	dumbbell	SHOULDER_PRESS/SINGLE_ARM_STEP_UP_AND_PRESS
smith machine overhead press	push_vertical	machine	SHOULDER_PRESS/SMITH_MACHINE_OVERHEAD_PRESS	Smith_Machine_Overhead_Shoulder_Press
split stance hammer curl to press	accessory	barbell	SHOULDER_PRESS/SPLIT_STANCE_HAMMER_CURL_TO_PRESS
standing landmine press	push_vertical	barbell	SHOULDER_PRESS/STANDING_LANDMINE_PRESS
strict press	push_vertical	barbell	SHOULDER_PRESS/STRICT_PRESS	Standing_Military_Press
swiss ball dumbbell shoulder press	push_vertical	dumbbell	SHOULDER_PRESS/SWISS_BALL_DUMBBELL_SHOULDER_PRESS
weight plate front raise	accessory	dumbbell	SHOULDER_PRESS/WEIGHT_PLATE_FRONT_RAISE
dumbbell curl to overhead press wheelchair	accessory	dumbbell	SHOULDER_PRESS/DUMBBELL_CURL_TO_OVERHEAD_PRESS_WHEELCHAIR
arnold press wheelchair	push_vertical	bodyweight	SHOULDER_PRESS/ARNOLD_PRESS_WHEELCHAIR
overhead dumbbell press wheelchair	push_vertical	dumbbell	SHOULDER_PRESS/OVERHEAD_DUMBBELL_PRESS_WHEELCHAIR
barbell hang power clean	hinge	barbell	OLYMPIC_LIFT/BARBELL_HANG_POWER_CLEAN
barbell hang power snatch	hinge	barbell	OLYMPIC_LIFT/BARBELL_HANG_POWER_SNATCH
barbell hang pull	hinge	barbell	OLYMPIC_LIFT/BARBELL_HANG_PULL
barbell hang squat clean	hinge	barbell	OLYMPIC_LIFT/BARBELL_HANG_SQUAT_CLEAN
barbell high pull	hinge	barbell	OLYMPIC_LIFT/BARBELL_HIGH_PULL
barbell high pull block	hinge	barbell	OLYMPIC_LIFT/BARBELL_HIGH_PULL_BLOCK
barbell power clean	hinge	barbell	OLYMPIC_LIFT/BARBELL_POWER_CLEAN	Power_Clean
barbell power snatch	hinge	barbell	OLYMPIC_LIFT/BARBELL_POWER_SNATCH	Power_Snatch
barbell power snatch block	hinge	barbell	OLYMPIC_LIFT/BARBELL_POWER_SNATCH_BLOCK	Power_Snatch_from_Blocks
barbell snatch	hinge	barbell	OLYMPIC_LIFT/BARBELL_SNATCH	Snatch
barbell split jerk	push_vertical	barbell	OLYMPIC_LIFT/BARBELL_SPLIT_JERK	Split_Jerk
barbell squat clean	hinge	barbell	OLYMPIC_LIFT/BARBELL_SQUAT_CLEAN
clean	hinge	barbell	OLYMPIC_LIFT/CLEAN SANDBAG/CLEAN	Clean
clean and jerk	hinge	barbell	OLYMPIC_LIFT/CLEAN_AND_JERK	Clean_and_Jerk
clean and press	hinge	barbell	OLYMPIC_LIFT/CLEAN_AND_PRESS SANDBAG/CLEAN_AND_PRESS	Clean_and_Press
dumbbell clean	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_CLEAN	Dumbbell_Clean
dumbbell hang pull	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_HANG_PULL
dumbbell hang snatch	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_HANG_SNATCH
dumbbell power clean and jerk	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_POWER_CLEAN_AND_JERK
dumbbell power clean and push press	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_POWER_CLEAN_AND_PUSH_PRESS
dumbbell power clean and strict press	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_POWER_CLEAN_AND_STRICT_PRESS
dumbbell snatch	hinge	dumbbell	OLYMPIC_LIFT/DUMBBELL_SNATCH
medicine ball clean	hinge	dumbbell	OLYMPIC_LIFT/MEDICINE_BALL_CLEAN
one hand dumbbell split snatch	hinge	dumbbell	OLYMPIC_LIFT/ONE_HAND_DUMBBELL_SPLIT_SNATCH
push jerk	push_vertical	barbell	OLYMPIC_LIFT/PUSH_JERK
single arm dumbbell snatch	hinge	dumbbell	OLYMPIC_LIFT/SINGLE_ARM_DUMBBELL_SNATCH
single arm hang snatch	hinge	dumbbell	OLYMPIC_LIFT/SINGLE_ARM_HANG_SNATCH
single arm kettlebell snatch	hinge	kettlebell	OLYMPIC_LIFT/SINGLE_ARM_KETTLEBELL_SNATCH	One-Arm_Kettlebell_Snatch
split jerk	push_vertical	barbell	OLYMPIC_LIFT/SPLIT_JERK	Split_Jerk
squat clean and jerk	hinge	barbell	OLYMPIC_LIFT/SQUAT_CLEAN_AND_JERK	Clean_and_Jerk
snatch	hinge	barbell	OLYMPIC_LIFT/SNATCH	Snatch
trap bar high pull	hinge	barbell	OLYMPIC_LIFT/TRAP_BAR_HIGH_PULL
barbell hip thrust on floor	hinge	barbell	HIP_RAISE/BARBELL_HIP_THRUST_ON_FLOOR
barbell hip thrust with bench	hinge	barbell	HIP_RAISE/BARBELL_HIP_THRUST_WITH_BENCH	Barbell_Hip_Thrust
bent knee swiss ball reverse hip raise	hinge	bodyweight	HIP_RAISE/BENT_KNEE_SWISS_BALL_REVERSE_HIP_RAISE HIP_RAISE/WEIGHTED_BENT_KNEE_SWISS_BALL_REVERSE_HIP_RAISE
bridge with leg extension	accessory	bodyweight	HIP_RAISE/BRIDGE_WITH_LEG_EXTENSION HIP_RAISE/WEIGHTED_BRIDGE_WITH_LEG_EXTENSION
clam bridge	accessory	bodyweight	HIP_RAISE/CLAM_BRIDGE HIP_RAISE/WEIGHTED_CLAM_BRIDGE
front kick tabletop	accessory	bodyweight	HIP_RAISE/FRONT_KICK_TABLETOP HIP_RAISE/WEIGHTED_FRONT_KICK_TABLETOP
hip extension and cross	hinge	bodyweight	HIP_RAISE/HIP_EXTENSION_AND_CROSS HIP_RAISE/WEIGHTED_HIP_EXTENSION_AND_CROSS
hip raise	hinge	bodyweight	HIP_RAISE/HIP_RAISE HIP_RAISE/WEIGHTED_HIP_RAISE HIP_RAISE
hip raise with feet on swiss ball	hinge	bodyweight	HIP_RAISE/HIP_RAISE_WITH_FEET_ON_SWISS_BALL HIP_RAISE/WEIGHTED_HIP_RAISE_WITH_FEET_ON_SWISS_BALL
hip raise with head on bosu ball	hinge	bodyweight	HIP_RAISE/HIP_RAISE_WITH_HEAD_ON_BOSU_BALL HIP_RAISE/WEIGHTED_HIP_RAISE_WITH_HEAD_ON_BOSU_BALL
hip raise with head on swiss ball	hinge	bodyweight	HIP_RAISE/HIP_RAISE_WITH_HEAD_ON_SWISS_BALL HIP_RAISE/WEIGHTED_HIP_RAISE_WITH_HEAD_ON_SWISS_BALL
hip raise with knee squeeze	hinge	bodyweight	HIP_RAISE/HIP_RAISE_WITH_KNEE_SQUEEZE HIP_RAISE/WEIGHTED_HIP_RAISE_WITH_KNEE_SQUEEZE
incline rear leg extension	accessory	bodyweight	HIP_RAISE/INCLINE_REAR_LEG_EXTENSION HIP_RAISE/WEIGHTED_INCLINE_REAR_LEG_EXTENSION
kettlebell swing	hinge	kettlebell	HIP_RAISE/KETTLEBELL_SWING
marching hip raise	hinge	bodyweight	HIP_RAISE/MARCHING_HIP_RAISE HIP_RAISE/WEIGHTED_MARCHING_HIP_RAISE
marching hip raise with feet on a swiss ball	hinge	bodyweight	HIP_RAISE/MARCHING_HIP_RAISE_WITH_FEET_ON_A_SWISS_BALL HIP_RAISE/WEIGHTED_MARCHING_HIP_RAISE_WITH_FEET_ON_A_SWISS_BALL
reverse hip raise	hinge	bodyweight	HIP_RAISE/REVERSE_HIP_RAISE HIP_RAISE/WEIGHTED_REVERSE_HIP_RAISE
